country_code,year,total_population,male_population,female_population,working_age_population_ratio,mortality_rate,life_expectancy,life_expectancy_male,life_expectancy_female,fertility_rate
KWT,1960,311060.0,185646.0,125414.0,65.8379894225028,117.2,59.2033414634146,57.317,61.184,7.223
LAO,1960,2121514.0,1048890.0,1072624.0,80.0186169332633,,41.036,39.555,42.579,6.292
LBN,1960,1794406.0,902865.0,891541.0,93.1057267537275,65.0,63.927,62.06,65.917,5.877
LBR,1960,1139522.0,585349.0,554173.0,78.4040542888947,200.6,38.073,37.04,39.144,6.391
LBY,1960,1492890.0,760556.0,732334.0,91.9809573778587,193.8,40.752,38.742,43.05,7.509
LCA,1960,92585.0,44273.0,48312.0,103.743233132345,89.1,57.865,55.837,59.646,6.767
LIE,1960,16451.0,8027.0,8424.0,58.2740042332115,,70.8882195121951,67.517,74.428,2.779
LKA,1960,9661389.0,5094837.0,4566552.0,82.436583133047,57.2,60.602,59.065,62.6,5.352
LSO,1960,736500.0,326337.0,410163.0,98.5183208534817,137.7,50.171,46.529,52.922,5.784
LTU,1960,2778550.0,1280727.0,1497823.0,53.9529201215644,,69.8473170731707,66.94,72.9,2.56
LUX,1960,313970.0,155157.0,158813.0,46.7284478528467,31.7,68.8005609756098,66.023,71.717,2.29
LVA,1960,2120979.0,937317.0,1183662.0,48.8369759339244,,69.7868292682927,66.26,73.49,1.94
MAC,1960,173315.0,85490.0,87825.0,82.8438198928134,,63.780756097561,62.331,65.303,4.957
MAF,1960,4250.0,2077.0,2173.0,101.326385599242,,67.648,63.903,71.261,6.389
MAR,1960,11624933.0,5799958.0,5824975.0,91.1029507618929,149.2,41.73,40.965,42.486,6.887
MCO,1960,21808.0,9794.0,12014.0,50.2514640027558,,71.861,68.621,74.817,2.812
MDA,1960,2058020.0,941405.0,1116615.0,65.15993794926,,59.44,55.921,62.523,3.315
MDG,1960,5111029.0,2603608.0,2507421.0,94.386332561903,,43.349,42.142,44.652,7.343
MDV,1960,91189.0,49756.0,41433.0,69.7171040387121,,38.244,37.523,39.003,6.713
MEX,1960,36724615.0,18363482.0,18361133.0,98.3335861696774,105.3,53.573,51.937,55.293,6.763
MHL,1960,14703.0,7562.0,7141.0,108.28729281768,88.7,54.359,51.21,58.228,8.077
MKD,1960,1435059.0,698718.0,736341.0,74.3902364926036,,60.5017317073171,60.611,60.387,3.826
