"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","Population, female","SP.POP.TOTL.FE.IN","24878240","25598804","26362885","27151732","27964907","28801088","29657617","30551511","31472067","32385386","33225897","33947031","34750171","35753988","36776225","37762351","38756724","39758252","40766279","41786802","42826188","43957975","45189089","46424537","47644190","48847560","50025293","51175860","52294637","53396565","54491175","55554457","56627781","57723368","58836294","59975549","61123899","62313586","63548936","64815861","66067192","67278611","68468235","69625317","70743192","71813210","72831947","73805299","74736651","75629878","76487607","77354265","78243628","79124505","79993271","80855124","81720325","82462276","83091995","83750865","84419144","85086513","85985502","87109279","88218708",
"Bulgaria","BGR","Population, female","SP.POP.TOTL.FE.IN","3939014","3976205","4010589","4042651","4075166","4102985","4127970","4154173","4184183","4217013","4245223","4269363","4290340","4313835","4343883","4365969","4386221","4410797","4418034","4426280","4446408","4463710","4479472","4493898","4508111","4515961","4523067","4534076","4543249","4495116","4420477","4382417","4341549","4312680","4302902","4288873","4271365","4249354","4225312","4205612","4188059","4108648","4022127","3991027","3961981","3933247","3904283","3876005","3848795","3823787","3798253","3773377","3750798","3676045","3633163","3588795","3544097","3499589","3454233","3408148","3376758","3356188","3335288","3326573","3325915",
"Bahrain","BHR","Population, female","SP.POP.TOTL.FE.IN","77347","80654","84056","87561","91171","94733","98203","101688","102987","101841","100311","100722","104052","108352","112910","117721","122742","127929","133245","138648","144097","149471","154850","160489","166490","172873","179619","186677","193967","201407","208888","204476","210143","215870","221775","227861","234133","240585","247202","253982","260942","269157","285565","303394","323411","345796","370752","398513","420646","446789","464903","450440","450966","469893","501714","523035","533830","554706","558295","556667","554866","571651","579797","598073","603043",
"Bahamas, The","BHS","Population, female","SP.POP.TOTL.FE.IN","59526","62141","64937","67867","70837","73915","77222","80743","84460","88223","91542","94341","96894","99275","101573","103853","106146","108440","110708","112923","115127","117276","119371","121520","123722","126012","128360","130707","133119","135653","138191","140733","143492","146360","149115","151773","154370","156881","159308","161626","163954","166159","168237","170475","172824","175138","177690","180554","183318","186036","188778","191289","193481","195523","197496","199318","200976","202502","203929","205180","205987","206455","207295","208531","209686",
"Bosnia and Herzegovina","BIH","Population, female","SP.POP.TOTL.FE.IN","1729855","1767628","1796926","1822670","1847187","1870907","1894092","1916575","1937934","1957994","1976985","1994612","2010836","2026544","2042432","2058650","2074832","2090527","2105713","2120706","2136154","2152203","2169542","2187997","2206149","2223227","2238641","2252234","2263849","2273207","2280043","2284277","2179584","2028828","1948712","1947058","2027684","2099408","2135066","2155462","2169976","2179564","2183717","2178854","2160022","2137876","2121527","2096898","2064139","2030314","1996037","1960912","1924626","1894411","1870555","1846373","1822354","1798537","1776605","1755046","1730652","1701558","1680628","1670406","1658459",
"Belarus","BLR","Population, female","SP.POP.TOTL.FE.IN","4529311","4555861","4587148","4621177","4657004","4693046","4729741","4767982","4806485","4843872","4879711","4915123","4949402","4980849","5008249","5030464","5050315","5075034","5105812","5133580","5160641","5192628","5224294","5256848","5289433","5321529","5354821","5387621","5396631","5405163","5411107","5410497","5417420","5424491","5429670","5423510","5402294","5376448","5349815","5327231","5305824","5281537","5251762","5219844","5188807","5158397","5131704","5111547","5096090","5084640","5074444","5064259","5057231","5054425","5055280","5059103","5060389","5052859","5040188","5028345","5007632","4967859","4928161","4900868","4877396",
"Belize","BLZ","Population, female","SP.POP.TOTL.FE.IN","46116","47210","48345","49614","51006","52482","54042","55671","57335","58935","60213","61180","62044","62850","63640","64669","65961","67285","68623","70027","71648","73456","75299","77145","78996","80851","82714","84591","86501","88448","90413","92348","94280","96235","98323","100834","103894","107434","111275","115196","119052","122888","126814","130825","134912","139072","143291","147546","151818","156086","159881","163227","166617","170066","173569","177130","181032","184992","188461","191404","194048","196444","199820","203619","206630",
"Bermuda","BMU","Population, female","SP.POP.TOTL.FE.IN","20623","21054","21552","22049","22536","23011","23491","23913","24287","24663","25026","25276","25398","25492","25569","25625","25749","25945","26140","26316","26469","26654","26875","27099","27321","27537","27736","27953","28199","28440","28675","28912","29151","29379","29593","29787","29958","30157","30389","30630","30856","31039","31195","31336","31447","31552","31642","31741","31867","31962","32037","32081","32076","32054","32017","31966","31964","32083","32288","32503","32711","32916","33016","33018","33017",
"Bolivia","BOL","Population, female","SP.POP.TOTL.FE.IN","1878990","1917591","1957294","1998255","2040526","2084133","2129198","2175847","2224095","2273705","2324492","2376499","2429506","2483693","2539322","2596257","2655051","2715599","2777175","2839494","2902388","2965813","3029567","3093810","3159030","3224985","3291877","3360463","3430908","3502899","3575981","3649873","3723734","3793879","3860543","3926912","3993148","4058976","4124609","4190916","4257604","4324873","4396256","4472097","4549595","4628556","4709715","4792563","4875789","4959233","5043024","5127114","5211368","5295667","5379801","5463769","5547565","5631129","5714436","5797447","5876234","5947416","6023404","6108428","6194100",
"Brazil","BRA","Population, female","SP.POP.TOTL.FE.IN","36100035","37220571","38362620","39524520","40699671","41877789","43052818","44220630","45382763","46549670","47729157","48925361","50143237","51383911","52641174","53917926","55225306","56565645","57937050","59335352","60756685","62191727","63628338","65068014","66508494","67943284","69360681","70752701","72122824","73473665","74810590","76122420","77423630","78712903","79979703","81247242","82513940","83776989","85060291","86337015","87563456","88745464","89889310","90993146","92064387","93116142","94144059","95139801","96094560","96998667","97857569","98697665","99542839","100393208","101245560","102088078","102908376","103701726","104452738","105174727","105816369","106313829","106757480","107227668","107703455",
